match,group,is_participating,start,end,content
1,1,yes,497,503,41.250
2,1,yes,553,559,41.750
3,1,yes,609,615,42.500
4,1,yes,665,671,43.250
5,1,yes,721,727,43.750
6,1,yes,777,783,44.750
7,1,yes,833,839,45.750
8,1,yes,889,895,46.250
9,1,yes,945,951,46.750
10,1,yes,1001,1007,47.500
11,1,yes,1058,1064,48.000
12,1,yes,1115,1121,48.500
13,1,yes,1172,1178,49.250
14,1,yes,1229,1235,50.000
15,1,yes,1286,1292,50.500
16,1,yes,1343,1349,51.000
17,1,yes,1400,1406,52.000
18,1,yes,1457,1463,52.500
19,1,yes,1514,1520,53.000
20,1,yes,1571,1577,53.500
21,1,yes,1628,1634,54.250
22,1,yes,1685,1691,55.000
23,1,yes,1742,1748,55.750
24,1,yes,1799,1805,56.750
25,1,yes,1856,1862,57.250
26,1,yes,1913,1919,58.000
27,1,yes,1970,1976,58.500
28,1,yes,2027,2033,59.000
29,1,yes,2084,2090,59.500
30,1,yes,2141,2147,60.000
31,1,yes,2198,2204,60.750
32,1,yes,2255,2261,61.500
33,1,yes,2312,2318,62.250
34,1,yes,2369,2375,63.000
35,1,yes,2426,2432,63.500
36,1,yes,2483,2489,64.250
37,1,yes,2540,2546,65.250
38,1,yes,2597,2603,65.750
39,1,yes,2654,2660,66.500
40,1,yes,2711,2717,69.500
41,1,yes,2768,2774,70.250
42,1,yes,2825,2831,70.750
43,1,yes,2882,2888,71.500
44,1,yes,2939,2945,72.250
45,1,yes,2996,3002,72.500
46,1,yes,3053,3059,73.750
47,1,yes,3110,3116,74.250
48,1,yes,3167,3173,75.000
49,1,yes,3224,3230,79.750
50,1,yes,3281,3287,81.250
51,1,yes,3338,3344,82.000
52,1,yes,3395,3401,82.500
53,1,yes,3452,3458,83.500
54,1,yes,3509,3515,84.500
55,1,yes,3566,3572,85.250
56,1,yes,3623,3629,86.250
57,1,yes,3680,3686,95.500
58,1,yes,3737,3744,114.000
59,1,yes,3795,3802,115.500
60,1,yes,3853,3860,116.250
61,1,yes,3911,3918,116.750
62,1,yes,3969,3976,117.750
63,1,yes,4027,4034,120.750
